"TSLA","Tesla Motors Inc.","Tech"
"APPL","Apple Inc.","Tech"
"IBM","International Business Machines Corp","Tech"
"NFLX","Netflix Inc.","Tech"
"CTSH","Cognizant Technology Solutions Corp","Tech"
"LYB","LyondellBasell Industries","Basic"
